"","Rating","Review"
"1","2","Pros: These Crayons are nice and sturdy feeling, as they are larger than some other brands.The crayons erase easily, even after drying on the wall overnight.Cons: The yellow does not show up on the white surface of a bathtub, so it is virtually useless. The other Crayons are kind of grainy and do not write as smoothly as other brands of bath Crayons. The wax seems harder and the lines the crayons make are narrow and you have to press harder to get a good mark. The crayons also drip a lot and the crayon line on the wall drips if it is moist.I do not think I'd buy these particular bath Crayons again. The quality isn't as good as othersLarger Alex crayon shown on left.Crayons lines on top are Alex -  shown under is another brand."
"2","5","We have ordered these a few times on Amazon, and also purchased in-store, and my now 4.5yr old still enjoys them in the shower! They write on the wall great and wash or wipe off with water. The one drawback for some may be the waxy residual that is left behind on the shower or bath wall. In my opinion, it's not an issue to use a tub/shower cleaner every now and then to clean up that waxy residue left behind but I can understand how that may be an annoyance for other families. Our walls are white so the residual is not really seen but on different types of walls it could be more annoyingly obvious. But, if your little artists would have a blast, do it for the kids! ;-)**Another thought to consider is the color run-off may be an issue for children that are dye sensitive. Also water makes certain colors leech dye, like surprisingly a lot, especially the green and purple, and can even slightly stain fingers if the child holds the crayon (like mine) as opposed to keeping it inside the plastic holder."
"3","4","My son, who is nearly 3, loves these.  He wants to color all over the walls every night at bath time. The colors are bright, except for the yellow which can't be seen on our cream colored tile.  Some people have reported difficulty in removing the writing on the wall.  Sponge or towel does not do so well, but a small loofah will take it off quickly with minimal effort.  I bought a $1 loofah at the store to use for clean up.  Keep in mind that if the tile is wet, the crayons won't work.  The tile must be dry!"
"4","1","These crayons were awful. The color of them on the tub walls looked good, it was bright, but the crayons bled. My son's hand was blue after he used the crayon (in the holder) and it didn't come off that night. I had to soak his hands again the next morning and wash/scrub them with a facecloth for them to not be blue anymore. Needless to say, they went into the trash after the first use. I tried to soak them in a cup for a little while after the bath then drained the cup and left them to dry overnight, tried to use them again the next day before giving them to my son and they bled again. My son was disappointed that his crayons were gone when he only got to use them once."
"5","1","These crayons are not the best. You have to push really hard on the wall to get any pigment. Also, the wall has to be wiped dry or else the water will grab onto the pigment making it hard to draw.Although they have a good price and are big enough for toddler hands, I would not reccomend.I do however recommend the Crayola brand bath crayons because they are far superior to these. They may be a little pricier but the few extra dollars pays off with how many extra colors you get and how well they work."
"6","1","The bath crayons did not work well in the bath tub and only parts of the drawings came out. The toddler couldn<U+2019>t get any color to come out and the preschool age child could get about half her drawing. She gave up trying to write her name after the first letter. Both kids gave up pretty quick. The bath crayons also fell out of the plastic case when turned upside down. Both kids had been excited to use them and I am now looking to order a different kind. Would not recommend"
"7","5","One of 5 yr old's favorite tub toys! He is in Pre-K, and loves to practice writing his letters and numbers. He also likes it when we write simple messages to him and then help him sound them out while playing in bath. If you worry about staining, it does clean up fine with a little scouring scrub. Most of the time - just wipe. May only compliant - wish they ""crayons"" lasted longer. They store better if you remove from tub or any standing water and place in some type of draining basket or mesh net. For creativity - even in the bath - plus motor skills, I recommend!"
"8","5","To be honest when I purchased these I was a little unsure. They have been used by a 5 year old and a 1 year old and they both had the best time in the bath with these! they are easy to use once wet and can go an skin, cloth and bathtubs! So much fun! They are being used also to draw in bowls then to clean them off! This is the perfect way for your little one to help without making a mess! I love these and they work super well!"
"9","3","I bought these for our curious little guy to play with in the tub. They work alright although they wash away easily with even a splash of water. Don't plan on creating any complicated works of art with a splashing toddler. Also, some of the crayons weren't stuck well in their holders. I keep having the red and purple fall right out. The ones that don't fall out are difficult to adjust in length. The sliding button gets stuck. We use them on the tub and mirror to write silly messages and faces, but I don't think I'll be ordering more."
"10","2","The first use was terrific, bold color and relatively easy clean-up for the tub and skin. The next day, noticed all the crayons had drained some of their color out (red definitely became pink), even after we shook out their water before storing them in their tray. Second use was ok, but this time even more of their color drained out, coloring the water itself. That wasn't bad actually, it was entertaining. But these are really now just waxy sticks whose color is hard to wash from skin, after 3 uses."
"11","5","We were in desperate need of new bath toys to keep our toddler entertained long enough to want to stay in the tub longer than a minute. I bought these for one of her stocking suffers and she knew what they were right away and asked me to take a bath right then. They worked like a charm. She had so much fun drawing all over the bathtub and the clean up was super easy. All I had to was splash water at the wall and wipe it down."
"12","3","I have been buying these crayons for over 2 years now and the problem I find with them is that although I've always bought the ALEX brand sometimes they are fabulous and sometimes they're rubbish... either they make them in different factories or buy them from different tollers or who knows, but I can tell specially from the purple color when they will last or not. The set that comes with the purple crayon that looks more like magenta are the cheap ones: these will fall of their holders, will waste if left in the tub (for 2 mere minutes) and will even have the color bleeding out of the wax and draw terribly... the set that has the purple crayon that does look a bit more like violet is great, it will last until the crayons have been used up, in they holders and in full color. The problem is that if you buy it online you wont know which set you will get until they've arrived...I recommend buying these in a store and checking the purple crayon!This is true of all the set (the one with the plastic fish holder, the one with the duck sponge and the set that only has the crayons)good luck"
"13","3","Updated review:After buying the Alex ""Draw in the Tub<U+00A0>Draw In The Tub Crayons (6)"" crayons a few times, we wanted to give this one by Edushape a shot. Instead of writing a review of the Edushape version, I thought Ill write a comparison between the two to help other customers pick the one that suits them the best.1. The ""Draw in the Tub"" crayons come in two versions although the product description doesnt say so. The cheaper one does come with the sponge ducky cleaner while the expensive one does. The crayons in the expensive packRub a Dub Draw In The Tub<U+00A0>are longer resulting in more crayon write and playtime for the kid. The Edushape crayons are pretty small- about the size of the cheaper Alex version. The ducky sponge cleaner is good to have but once you have one, no point in going for the expensive pack.2. Both crayons come off relatively easily- ""relative"" being the key word. If its erased soon after bath time, it comes off quickly without leaving a mess. If allowed to stay on, it gets harder to remove- occasionally warranting a bathtub cleaner. The Edushape crayons are a trifle harder to clean if you allow them to stay on for a day compared to the Alex version.3. The biggest grouse I have with the Edushape one is that it crumbles pretty quickly compared to the Alex version. Both sets of crayons are designed for no more than a couple of days of use but when dropped and allowed to stay in a mug of water (yep, my toddler loves doing that), the Edushape crayons disintegrated fairly quickly.4. Both sets of crayons come with 6 colors and they last one to two showers. No more than that. The bigger Alex crayons last for 3-4 days.5. The packaging for both brands is deceptive in that the crayon holder is significantly longer than the crayon itself. The crayon holder is also pretty useless in holding the crayon intact. Not sure whats the real point behind the crappy holder design for both products.6. A minor quibble with the Edushape crayons is that two of the colors- purple and yellow are so light that it requires special lighting to be spotted on a cream/white tub. I wish they chose darker colors instead.Overall, both products are less than satisfactory but given the choices or lack of it in this segment, one gets to choose either of the two and go with it. I wish there was a third brand that truly created better bath crayons for kids. Seeing how much my toddler enjoys it, I would gladly pay more for a better product!Original Review:We used to purchase this product at our local Target stores. They sold the bigger unit with the eraser ducky. That crayon was better built and came for 2-3 bath sessions. Unfortunately Target discontinued the product for whatever reason. I was forced to look for online purchasing options and found it at Amazon. This specific product is inferior to the one that used to be sold at Target for multiple reasons:1. It is smaller and also waxes off pretty quickly. I was lucky to get it through one full bath session.2. It is about the same price as the bigger one.3. Does not include the ducky which while not being the greatest of crayon cleaners, did the job decently.All in all, less for more. I wish they had the other product also for sale on amazon for the original price.Also, there are no viable and meaningful alternatives to consider in this segment. The Crayola ones are round and ungainly for toddlers to handle comfortably."
"14","3","My daughter loved these first day she used them. Second bath day and we found the crayons ruined. They swelled up from being in water ( I had left them in the tray and water must have gotten in the tray.) I say part of it is user error for leaving them in water on accident. Could not use them a second time. They are completely done after a night of water exposure."
"15","4","These are great! My 15 month old is into scribbling and these are the reason she sits nice in the bath now. They are easy fo wash off the walls as well. My only annoyance is the crayon part comes out of the holder of you hold it upside down so picking them up and putting them back in takes some time and my toddlers fingers are rainbow from holding the crayon directly rather than the holder. I would recommend these though"
"16","5","ALEX toys bath crayons are the best ones for bath time. Note that the set that comes with the holder is different than the set that has just crayons. The first are more oily and can be used dry/cool, the crayons in this set need to get wet/warm in the water first to be able to really use them, but after that they are awesome!"
"17","1","My 2 Year old loves these, however, they don't last past a week. The crayons constantly came out of the holder and if they sit in the water too long they get so soft that they just fall apart. Also, they are all almost all white and the color is gone from them. He got these in his Easter basket and they are just junk. Wouldn't recommend these whatsoever."
"18","3","The dye bleeds and takes a couple days to come off skin.  They don't write well if they get into the water so you have to keep them dry but my toddler like to use them nonetheless."
"19","1","These tub crayons are awful! They don't draw but they melt in water! So they are the opposite of what they should be. Total garbage! Which is where I threw them. I am sorry I didn't read the reviews first. I will stick with crayola. Lesson learned."
"20","1","Terrible. We've had much better bath crayons. These one are falling out of their case and falling apart with any little touch. The crayon writes watery as well. Very disappointed."
"21","1","I had to get out the bleach and scrub my bathtub to get this off. And we didn't get any on the walls or tiles or grout. I'm only talking about the tub itself."
"22","2","Crayons were a big hit but these ones broke off easily (and maybe that's user error) but then I had a very hard time pushing the lever up to move the crayon up - like, I can't and I'm a grownup, on any of them.  Kinda defeats the purpose"
"23","3","The crayons always fall out of the plastic holder. On their own, the crayon pieces are about half the length of the plastic holder9and slippery when wet!), so they are hard for little hands to hold."
"24","5","These are great. We let my daughter use them to draw on the outside of the tub as potty training entertainment.They wipe off really easy with a baby wipe even after sitting a few days. I have zero complaints.Some of the crayons arrived damaged in many original order but they were very promptly replaced"
"25","5","These work pretty well. The plastic holder is genius and a huge improvement from the old style with no holder. They work better on dry walls. we have a white plastic / fiberglass tub enclosure , so no grout and no staining."
"26","4","My girls lov to color in the bath.  These are easy to use and are super bright and colorful.  My only complaint is that they wear out so quickly, especially if they hang out on water too much - the soap breaks down quite fast."
"27","2","These fall out of the plastic tubes easily and don't stay in if you put them back.  They are not as easy to wash off the tub as the Crayola brand.  The colors are as vibrant either.  I'd recommend if you are going to spend the money get the Crayola ones."
"28","1","Totally disappointed with these, chucked them in the trash after the first use...didn<U+2019>t write well, fell out of hold once in warm bath water"
"29","1","These are awful. The munchkin brand are pretty great. My 16mo daughter loves them. The crayons still fall out of the plastic, just like these, but at least they draw. These do absolutely nothing right. Don't waste your money."
"30","3","My daughter likes it, that is why I give it a three, but they do not last long, for me only lasted a week and crayons became very brittle and fell apart. If you don't mind buying them frequently then not a bad product."
"31","3","These were alright but they disovled kinda quik. I think they lasted 4 baths. They did clean up very easy. I think that f you could get them to you 1 at a time and keep them dry unless they are using them. They were pretty neat."
"32","2","The color bleeds in the bath and stains my sons hands...and they get flimsy. The color isn't brilliant either. Wouldn't buy again."
"33","2","These don't write well, the colours don't show up if there is any water on the surface (highly likely, during a bath!). Hard to move the base up when the crayon tip gets worn down. Buy a different brand!"
"34","1","These are not like other bath crayons I have bought at all.  The crayons constantly fall out of the tube and they bleed everywhere. They also stain."
"35","2","Didn't last long at all. If you let them fall into the tub the colors start bleeding."
"36","1","Poor quality. The crayons kept falling out of the holders and they are slimy and nasty when they come out of the tub. My daughter enjoyed them and they were easy to wipe off. But that doesn<U+2019>t make up for the awful quality."
"37","3","Pushing the crayons out of the tube is quite difficult... great while it lasted, but I threw them out once the tips had worn down because getting the rest of the crayon out of the tube was horrendously hard."
"38","4","The bathtub crayons work but it's very difficult to extend the crayons in their plastic case. This is why I give them a four-star rating. On the plus side extremely easy to wash off the tub and walls!"
"39","1","These were terrible. The <U+201C>wax<U+201D> is really hard, making them difficult to use. I left one in the water for a few hours, and afterwards it dried out and crumbled. They<U+2019>re also really difficult to clean off the tub walls, leaving a faint stain where they<U+2019>ve been. I ended up throwing a couple away without even using them."
"40","1","These are absolute junk. I was so careful with these crayons, taking them out after each bath so they wouldn't get crumbly and soggy. Nothing worked. The tips broke off on the second use and the rest of the crayons are stuck in the plastic tube. I took a screwdriver and a few other things just trying to move the plastic piece and the rest of the crayon up, but they are all stuck in the plastic tube. Really disappointed."
"41","1","Not nearly as good as the crayola bath crayons. Hardly colored. Washed out color when left in water. Buy crayola ones from target. Same price, way better product. Also, there are 10 in the crayola pack"
"42","2","My daughter has a blast with these! Covered the whole tub in crayon. Then we went to use them again the next night and couldn<U+2019>t push the crayon up. If you leave them in water too long the crayon seems to absorb the water making it impossible to push them up. She now has to stick her finger in the crayon to get any out. Another product from amazon that didn<U+2019>t work for her for Christmas. Two stars only because she still has fun with it."
"43","5","My daughter hated bathtime until I got these! Now she has so much fun coring all over the tub. The crayons are easily cleaned from surfaces and don't stain."
"44","1","wasnt happy with this product, they did not stay in the holder so they fell loose in the bath water, you could barely see the coloring on the tub.  dont waste your money"
"45","3","My son loved these but they only lasted for two baths. Make sure to not submerge them in water and to store in dry location or they crumble"
"46","1","These did not write well and were a challenge to clean off. They stained our white vanity top. Do not recommend & will not purchase again."
"47","2","Don't leave these in the tub between baths - the color runs and makes a GIANT mess.  Good thing my kids think scrubbing the tub with a sponge to clean it off is fun.  Also, the crayon part didn't stay in place in the outside plastic holder - so my toddlers couldn't really use them well.  Not worth the mess."
"48","3","They were fun while they lasted. My son (3) was able to break the crayon part quickly from pressing too hard when he drew."
"49","3","The kids love this product.  There is cleanup required as they leave a film on the tub.  All around a great product aside from the cleanup.  If your kids are older though, they love to help."
"50","3","These were great until the got wet and stopped coloring, then fell apart. Better price on name brand at the store and better quality."
"51","2","These crumbled and fell apart in the tub- also we could not get the clicker pushed up to push out the rest of the crayon on most of them. These were a one time use product and a waste of money."
"52","3","do not leave in water for a long period of time or they just dissolve and scrub off tube after each bath or the marks are harder to remove later on."
